Key_Position,Total_Attention_Score,Rank
164,2.040617,1
137,1.746245,2
103,1.5905871,3
94,1.5111786,4
134,1.4930246,5
142,1.4473273,6
107,1.3950719,7
160,1.3855852,8
97,1.3751289,9
162,1.3562747,10
75,1.3521094,11
122,1.3489889,12
71,1.3354137,13
163,1.2633299,14
87,1.234315,15
101,1.2208287,16
79,1.1892009,17
161,1.1422638,18
120,1.1129197,19
156,1.1063296,20
