Key_Position,Total_Attention_Score,Rank
128,1.6503808,1
137,1.601854,2
162,1.5074985,3
100,1.2765805,4
107,1.2662002,5
164,1.255494,6
103,1.236005,7
101,1.1896209,8
144,1.177693,9
86,1.1673645,10
129,1.1593161,11
93,1.1285754,12
150,1.0578692,13
132,1.0370454,14
121,1.0323282,15
53,1.0315758,16
52,1.0315758,17
51,1.0315758,18
42,1.0315758,19
50,1.0315758,20
