Key_Position,Total_Attention_Score,Rank
162,1.567987,1
98,1.2829845,2
149,1.280119,3
121,1.2345495,4
101,1.22714,5
164,1.1502196,6
100,1.1134732,7
137,1.1075698,8
126,1.0792545,9
141,1.0672253,10
163,1.0463827,11
80,1.0393958,12
127,1.0387924,13
46,1.0345284,14
47,1.0345284,15
48,1.0345284,16
42,1.0345284,17
45,1.0345284,18
50,1.0345284,19
51,1.0345284,20
