Key_Position,Total_Attention_Score,Rank
710,6.217813,1
384,5.5861588,2
185,5.4843073,3
595,5.101743,4
618,4.976146,5
688,4.721108,6
502,4.3727436,7
193,4.334832,8
607,4.33152,9
37,3.992078,10
597,3.9876184,11
345,3.8965838,12
255,3.8378828,13
553,3.820669,14
434,3.7223122,15
443,3.6544251,16
464,3.6130478,17
546,3.576141,18
535,3.5035803,19
446,3.4498172,20
