Key_Position,Total_Attention_Score,Rank
606,6.2423625,1
688,4.377946,2
185,3.9472032,3
393,3.5645597,4
37,3.5545704,5
595,3.4551885,6
691,3.4278355,7
251,3.2562957,8
756,3.1309273,9
384,3.0762174,10
722,3.028428,11
699,2.9602757,12
656,2.7312744,13
738,2.727985,14
332,2.7060874,15
603,2.6506739,16
785,2.606557,17
598,2.5668204,18
607,2.5235686,19
542,2.5093102,20
