Key_Position,Total_Attention_Score,Rank
453,3.6700826,1
688,2.8940785,2
618,2.8826718,3
710,2.131845,4
502,1.8853027,5
294,1.776129,6
384,1.7616864,7
603,1.7517499,8
821,1.713528,9
516,1.6762414,10
607,1.6449333,11
185,1.5364121,12
178,1.5084295,13
738,1.5031339,14
255,1.4864564,15
595,1.4349861,16
23,1.404616,17
345,1.3874899,18
464,1.3710527,19
546,1.3306463,20
