dtxsid,aeid,hitc_clean,active
DTXSID0020319,377,0.9999999999999314,1.0
DTXSID0020573,377,0.9458203950377696,1.0
DTXSID0032493,377,0.9999927065008877,1.0
DTXSID0032520,377,0.9999999980303229,1.0
DTXSID0032572,377,0.999999991012263,1.0
DTXSID0032578,377,0.9999985573131197,1.0
DTXSID0032601,377,0.9999999999997187,1.0
DTXSID0032655,377,0.9999999999843417,1.0
DTXSID0034566,377,0.999994663310574,1.0
DTXSID0034930,377,0.9999996644496195,1.0
DTXSID1020770,377,0.9999999962788829,1.0
DTXSID1020855,377,0.999999999584468,1.0
DTXSID1021166,377,0.9999999999997515,1.0
DTXSID1024259,377,0.9999999999923258,1.0
DTXSID1024338,377,0.9999998408851232,1.0
DTXSID1032488,377,0.9999999999611942,1.0
DTXSID1032519,377,0.9999999999997512,1.0
DTXSID1034634,377,0.9999999698648898,1.0
DTXSID1034973,377,0.999999999999985,1.0
DTXSID2020347,377,0.9999999917637615,1.0
DTXSID2024242,377,0.999999999999796,1.0
DTXSID2032390,377,0.9999999998884969,1.0
DTXSID2032500,377,0.999999999999959,1.0
DTXSID2032558,377,0.9999999999997073,1.0
DTXSID2034590,377,0.999999999999963,1.0
DTXSID2034625,377,0.9999999998529997,1.0
DTXSID2039336,377,0.9999999999173318,1.0
DTXSID2040363,377,0.999992188128982,1.0
DTXSID3020122,377,0.9999999999665523,1.0
DTXSID3024235,377,0.9999999999909529,1.0
DTXSID3032464,377,0.9999999998675214,1.0
DTXSID3032549,377,0.9994566559599531,1.0
DTXSID3032628,377,0.9999999928541209,1.0
DTXSID4020791,377,0.9999999999917797,1.0
DTXSID4022448,377,0.9999999999992962,1.0
DTXSID4024270,377,0.9999999999999714,1.0
DTXSID4032372,377,0.9999999999999514,1.0
DTXSID4032613,377,0.9999999999999999,1.0
DTXSID4034653,377,0.9999999999994343,1.0
DTXSID5020366,377,0.9999795458255745,1.0
DTXSID5020576,377,0.9999999999917736,1.0
DTXSID5020819,377,0.9999999999965503,1.0
DTXSID5021332,377,0.9998888493920659,1.0
DTXSID5022308,377,0.9999999998141669,1.0
DTXSID5023871,377,0.9999999999995819,1.0
DTXSID5024211,377,0.9999999999570517,1.0
DTXSID5032525,377,0.9999999992996311,1.0
DTXSID6021248,377,0.9999962238241404,1.0
DTXSID6032562,377,0.9999999999976906,1.0
DTXSID6032647,377,0.999999999234877,1.0
DTXSID7020182,377,0.9999412377723232,1.0
DTXSID7020479,377,0.999999999357649,1.0
DTXSID7021100,377,0.9999999999994921,1.0
DTXSID7022253,377,0.9999999997305196,1.0
DTXSID7032470,377,0.9999999999690972,1.0
DTXSID7032553,377,0.9999999235840218,1.0
DTXSID7032555,377,0.9998557771416112,1.0
DTXSID7034545,377,0.9999999997253354,1.0
DTXSID7034676,377,0.999999999999793,1.0
DTXSID8022111,377,,
DTXSID8022325,377,0.9999999998598629,1.0
DTXSID8024151,377,0.9999999999998774,1.0
DTXSID8024159,377,0.9999999999380393,1.0
DTXSID8024234,377,3.340921252628533e-09,0.0
DTXSID8024238,377,0.9999899776530566,1.0
DTXSID8024315,377,0.9999999999997898,1.0
DTXSID8034586,377,0.9999999997860242,1.0
DTXSID8034742,377,0.9999999998368434,1.0
DTXSID8034956,377,0.9999999999995441,1.0
DTXSID8035180,377,0.9999999999926475,1.0
DTXSID9020370,377,4.793771183138354e-13,0.0
DTXSID9020790,377,4.350403566945795e-12,0.0
DTXSID9020827,377,0.3902540020265371,0.0
DTXSID9032329,377,0.9999999999999505,1.0
DTXSID9032531,377,0.9999999999999937,1.0
DTXSID9034365,377,0.9999999999793326,1.0
DTXSID9034492,377,0.9999999999988003,1.0
DTXSID9034818,377,0.9999999999992581,1.0
